StateAbr,LibID,title,Address,City,Zip,Zip4,County,Phone,WebAddr,RelCode,LegBasis,PopLSA,CentralLib,BranchLib,BookMob,Master,Librarians,OtherPaid,TotStaff,LocGvt,StGvt,FedGvt,OtherInc,TotInc,PrintExp,ElecExp,OthMaterial,TotCollExp,TotalExp,BookVol,Ebook,Audio,Video,HrsOpen,Visits,RefTran,RegBor,TotCirc,KidCirc,TotProg,KidProg,TotAtten,KidAtten,GPTerms,PITUsr,Long,Lat,CountyPop,LocaleCode,CongDist
AK,AK0001,ANCHOR POINT PUBLIC LIBRARY,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556,129,KENAI PENINSULA,9072355692,appubliclibrary.com/,NP,CI1,1829,1,0,0,0,0.75,0,0.75,2860,6350,0,7789,16999,3150,799,374,4323,14084,11765,0,184,2686,1404,7357,1404,1000,14430,1336,44,44,374,374,4,2347,-151.853479,59.78047,53409,43,0
AK,AK0002,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432975,www.anchoragelibrary.org/,CO,MA1,284994,1,4,0,24.8,33.6,52.4,86,10451914,291930,144888,524053,11412785,793427,138916,47231,979574,11217963,664162,5270,36334,42681,12765,840113,180877,153520,1532662,445026,818,768,40170,29142,79,300674,-149.876714,61.18792,279243,11,0
AK,AK0003,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,3078,DENALI,9075822628,-3,CI,CI1,295,1,0,0,0,0.25,0.15,0.4,6500,6350,789,2754,16393,2713,0,831,3544,16108,16615,0,191,1250,500,2028,288,140,2107,707,60,55,384,358,7,512,-149.178545,64.34357,1848,43,0
AK,AK0006,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,99559,368,BETHEL,9075434516,M,MJ,CI1,5665,1,0,0,1,1,2.5,3.5,67600,6350,33000,172008,278958,9772,1825,0,11597,262980,39822,0,2470,1772,2458,17000,375,2302,11783,2146,178,177,2945,2924,5,8850,-161.760222,60.77014,17236,41,0
AK,AK0007,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,829,MATANUSKA-SUSITNA,9078926475,www.matsulibraries.org/biglake/,CO,CO1,9679,1,0,0,0,1,2.75,3.75,253992,6350,1000,2730,264072,26395,0,0,26395,260342,21222,0,1491,1638,2568,32712,2940,2923,39831,22069,236,156,5059,4491,7,10930,-149.819317,61.55251,85458,42,0
AK,AK0008,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,68,DENALI,9077682372,-3,NP,CI1,192,1,0,0,0,0.38,0.38,0.76,4409,6350,6000,1581,18340,5619,570,600,6789,17470,12367,0,371,520,720,1930,300,165,3880,2095,23,22,97,79,4,750,-148.677951,63.44362,1848,43,0
AK,AK0011,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,5610,KODIAK ISLAND,9074863022,-3,NP,CI1,44,1,0,0,0,0,0,0,3000,6350,0,0,9350,3994,0,1059,5053,9964,2828,0,320,843,531,545,55,42,388,101,20,9,137,34,1,204,-152.491432,57.74737,13049,33,0
AK,AK0014,COLD BAY PUBLIC LIBRARY,10 BARANOV STREET,COLD BAY,99571,87,ALEUTIANS EAST,9075322878,coldbayak.org/library.php/,NP,CI1,90,1,0,0,0,0,0,0,2000,6350,0,465,8815,1666,0,2037,3703,8729,7135,0,502,3004,500,1550,250,243,1714,597,38,38,330,330,3,340,-161.128461,55.7397,2810,43,0
AK,AK0015,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,517,KENAI PENINSULA,9075951241,www.arctic.net/~alibrary/,NP,CI1,357,1,0,0,0,0,0,0,0,6350,0,11406,17756,4725,0,870,5595,12417,3683,0,513,849,748,3484,72,511,2937,603,49,40,540,400,3,1005,-150.134689,60.49075,53409,43,0
AK,AK0016,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,1210,VALDEZ-CORDOVA,9074246667,www.cordovalibrary.org/,CI,CI1,2161,1,0,0,0,3.8,2.4,6.2,350298,6350,1000,0,357648,12500,900,1600,15000,348298,21927,0,619,1405,2288,25607,738,2553,15591,5229,134,130,2384,2257,5,8384,-145.766016,60.54801,9362,43,0
AK,AK0017,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,1050,PR WALES-OUTER KE,9078263281,-3,CI,CI1,1414,1,0,0,0,1,0.75,1.75,92676,6350,6000,4587,109613,6989,0,1400,8389,99726,12217,0,679,2097,1860,13108,5000,1600,20203,7142,50,44,785,755,3,3590,-133.151451,55.47608,5533,43,0
AK,AK0019,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,229,SE FAIRBANK,9078954102,www.deltalibrarylinks.org/,CI,CI1,1058,1,0,0,0,1,1.38,2.38,151091,6350,1000,0,158441,7583,834,716,9133,157441,13212,0,553,1342,2860,42940,5600,4272,32684,10962,100,79,2180,1415,7,17707,-145.713082,64.03256,6753,43,0
AK,AK0020,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,870,DILLINGHAM,9078425610,www.ci.dillingham.ak.us/,CI,CI1,2347,1,0,0,0,1,0.88,1.88,84431,6350,6000,8126,104907,8502,1355,4340,14197,104340,16913,0,105,1677,2424,14664,1300,1076,18860,8823,6,4,54,34,6,5362,-158.466804,59.04026,4933,43,0
AK,AK0021,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,45,SE FAIRBANK,9075472334,-3,NP,CI1,129,1,0,0,0,0.48,0.43,0.91,2000,6350,5000,3982,17332,2632,618,1800,5050,22065,8604,0,599,1914,808,3120,357,168,5565,1866,76,66,711,591,3,984,-141.201813,64.78648,6753,43,0
AK,AK0022,ERNEST NYLIN MEMORIAL LIBRARY,50 ELIM LOOP,ELIM,99739,50,NOME,9078903501,-3,CI,CI1,280,1,0,0,0,0.16,0,0.16,2950,2650,0,0,5600,600,0,100,700,3698,7516,0,300,154,315,460,10,300,151,50,5,5,25,25,3,350,-162.073651,64.75812,9261,43,0
AK,AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,library.fnsb.lib.ak.us/,CO,CO1,154228,1,1,1,10,11.75,39.5,51.25,4929278,17206,116354,41689,5104527,339445,69167,75354,483966,4991042,299882,1344,16993,20949,5856,344723,72169,50401,598685,233167,706,576,23235,21007,25,90019,-147.73849,64.83845,97970,13,0
AK,AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,149,YUKON-KOYUKUK,9076562489,library.galenanet.org/,CI,CI1,580,1,0,0,0,0.38,0,0.38,23192,6350,0,2802,32344,2608,0,644,3252,30322,10505,0,51,859,750,3100,150,150,5030,1270,46,35,592,462,4,900,-154.720238,65.96966,5701,43,0
AK,AK0027,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,173,VALDEZ-CORDOVA,9078225427,M,NP,CI1,454,1,0,1,0,0,0,0,0,6350,4500,24850,35700,3502,0,739,4241,35627,16773,0,451,3081,1556,12200,740,2257,15920,4445,60,52,418,346,4,1900,-146.369847,62.05552,9362,43,0
AK,AK0028,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,279,SKAGWAY-ANGOON,9076972350,cms.gustavus-ak.gov/services/library,CI,CI1,448,1,0,0,0,0.88,0,0.88,32455,14350,7000,13220,67025,7217,0,1783,9000,65815,11020,0,106,769,1250,8239,220,513,4821,2540,71,36,1124,680,5,2261,-136.855874,58.83307,-1,43,0
AK,AK0029,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,1089,HAINES,9077662545,www.haineslibrary.org/,CO,CO1,2310,1,0,0,0,1,6.3,7.3,281412,6350,77599,29346,394707,30242,2250,2910,35402,439008,37435,0,1444,4504,2800,84260,8000,3487,106421,16934,536,496,6411,5794,13,32500,-135.446889,59.2363,2271,43,0
AK,AK0030,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,518,DENALI,9076832507,www.dbsd.org/,NP,CI1,1025,1,0,0,0,0.6,0,0.6,7500,6350,772,11228,25850,5111,0,391,5502,30977,24654,0,838,1267,977,6404,660,855,18988,6368,67,34,2075,1397,9,1545,-148.563331,64.014,1848,43,0
AK,AK0031,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS SCHOOL ROAD,HOLLIS,99950,5,PR WALES-OUTER KE,9075307112,www.princeofwalesonline.com/hollis_library.html,NP,CI1,172,1,0,0,0,0,0,0,2500,6350,0,2008,10858,4019,470,200,4689,8750,17200,0,630,300,714,1600,600,300,4550,2405,27,26,282,232,3,1000,-132.878786,55.76289,5533,43,0
AK,AK0032,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,library.ci.homer.ak.us/,CI,CI1,5390,1,0,0,1,1,5.9,6.9,580601,6350,0,42958,629909,19821,0,2200,22021,579602,35931,0,892,1906,2704,133186,12000,9933,98815,32796,105,94,4775,4467,19,40041,-151.544372,59.63993,53409,43,0
AK,AK0033,HOPE PUBLIC LIBRARY,18487 A AVENUE,HOPE,99605,127,KENAI PENINSULA,9077823121,-3,NP,CI1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-149.636592,60.916201,53409,42,0
AK,AK0035,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865324,www.juneau.org/library/,CO,CO1,40138,1,2,0,4.69,4.69,15.71,20.4,2104900,20520,110500,30580,2266500,128064,25080,40948,194092,2266500,118523,5166,4754,5724,7745,397401,19966,28173,219996,70174,421,377,11837,10762,45,44871,-134.400041,58.29759,30988,33,0
AK,AK0037,KASILOF PUBLIC LIBRARY,58200 STERLING HIGHWAY,KASILOF,99610,176,KENAI PENINSULA,9072524097,-3,NP,CI1,560,1,0,0,0,0.25,0,0.25,5600,6350,0,688,12638,3450,0,570,4020,13904,14622,0,83,113,515,3080,500,315,5422,1818,53,53,210,210,1,210,-151.225689,60.3424,53409,43,0
AK,AK0038,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,www.kenailibrary.org/,CI,CI1,7134,1,0,0,1,1,5,6,610030,6350,8000,5469,629849,68658,5315,10360,84333,571663,78136,0,1963,3610,3028,97802,1196,15299,115232,35391,271,186,3703,2854,15,23110,-151.244012,60.55813,53409,33,0
AK,AK0039,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,KETCHIKAN GATEWAY,9072253331,www.firstcitylibraries.org/,CO,CO1,12993,1,0,0,3,3.65,8.65,12.3,1030068,8204,1000,35936,1075208,89949,2634,30534,123117,1062272,59651,0,4224,5998,3016,132940,9855,10374,160698,60269,282,264,6877,6617,5,9809,-131.650775,55.34479,13142,33,0
AK,AK0040,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,7341,KODIAK ISLAND,9074868688,www.city.kodiak.ak.us/library/,CI,CI2,12972,1,0,0,1,1,6.5,7.5,699548,9518,0,4542,713608,59452,0,4900,64352,640367,68894,0,5929,3835,3344,149572,5101,13131,95667,29898,81,68,2002,952,10,51324,-152.398502,57.79393,13049,33,0
AK,AK0041,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,297,NORTHWEST ARCTIC,9074422410,www.chukchi.alaska.edu/users/zycclib/,MJ,CI2,3972,1,1,0,1,1,0.88,1.88,80000,12700,0,76334,169034,19570,2250,3067,24887,171704,13108,0,284,1638,2912,19100,1700,726,8595,3441,11,7,244,224,5,7408,-162.587444,66.89788,7502,33,0
AK,AK0044,MCGRATH COMMUNITY SCHOOL LIBRARY,CHINANA AVENUE,MCGRATH,99627,249,YUKON-KOYUKUK,9075243843,-3,NP,CI1,317,1,0,0,0,0.25,0.25,0.5,6000,6350,7000,8417,27767,3868,0,0,3868,22097,12141,0,96,134,832,3056,452,338,1997,1037,65,63,1425,1175,4,2240,-154.958831,62.94694,5701,43,0
AK,AK0046,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,7,PR WALES-OUTER KE,9078866015,-3,NL,CI1,1318,1,0,0,0,0.57,0,0.57,44783,6350,0,400,51533,6794,456,1846,9096,49441,8978,0,45,211,720,1815,815,137,1891,634,2,2,21,21,2,712,-131.582243,55.13203,5533,43,0
AK,AK0047,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,147,BRISTOL BAY,9072464465,M,CO,CI2,1029,1,1,0,0,1,2,3,201382,12700,6000,809,220891,9250,0,986,10236,191430,15820,0,253,2700,3244,8644,356,429,6191,2381,62,48,499,460,6,4854,-156.710141,58.84785,953,43,0
AK,AK0048,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,40,YUKON-KOYUKUK,9078325812,nenanalibrary.com/,CI,CI1,347,1,0,0,0,1,0,1,75495,6350,17397,4101,103343,3709,4662,1190,9561,108137,8406,0,468,1626,1664,7940,447,899,7842,1439,66,65,376,346,5,4160,-149.092702,64.56222,5701,43,0
AK,AK0051,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,165,KENAI PENINSULA,9075673333,-3,NP,CI1,853,1,0,0,0,0.38,0,0.38,0,6350,0,17552,23902,3100,0,1336,4436,24995,12412,0,492,2479,1456,7161,432,899,16869,1604,39,25,251,130,3,1912,-151.691726,60.0275,53409,43,0
AK,AK0052,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,1168,NOME,9074436628,M,CI,CI1,3570,1,0,0,0.94,1.88,0.2,2.08,194261,6350,0,2091,202702,9811,2728,979,13518,202705,16059,0,539,895,2288,20000,1248,1466,6581,2882,49,49,525,525,4,10296,-165.40543,64.49731,9261,33,0
AK,AK0053,NORTHWAY COMMUNITY/SCHOOL LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,99764,496,SE FAIRBANK,9077782287,-3,NP,CI1,88,1,0,0,0,0.3,0.3,0.6,0,6350,6000,0,12350,2727,0,839,3566,11158,2827,0,0,210,576,1000,10,70,1400,590,13,3,183,33,2,350,-141.945631,62.94483,6753,43,0
AK,AK0055,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077454690,cityofpalmer.org/library/,CO,CO1,26450,1,0,0,1,1,8.5,9.5,566351,6350,8170,20857,601728,50000,0,0,50000,625101,54729,0,2267,2038,2496,101577,1116,9407,128263,71615,275,235,6489,5722,8,21801,-149.113741,61.59847,85458,32,0
AK,AK0056,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,712,SKAGWAY-ANGOON,9077352500,-3,CI,CI1,113,1,0,0,0,0.32,0.08,0.4,14903,6350,0,1437,22690,3304,0,3350,6654,22635,10304,0,600,1731,546,4397,305,462,9798,1893,126,122,453,419,2,1268,-136.135508,58.10796,-1,43,0
AK,AK0057,PETERSBURG PUBLIC LIBRARY,12 SOUTH NORDIC DRIVE,PETERSBURG,99833,549,WRANGELL-PETERSBU,9077723349,www.psglib.org/,CI,CI1,3036,1,0,0,1,1,2.2,3.2,231387,6350,21445,28880,288062,35252,0,12739,47991,259286,27058,0,1564,4738,2496,50622,2659,3860,73995,24817,156,102,3944,3582,3,8703,-132.958255,56.80848,5910,33,0
AK,AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,49,KODIAK ISLAND,9074542288,-3,CI,CI1,190,1,0,0,0,0.38,0,0.38,16399,6350,5000,0,27749,2640,0,400,3040,19348,12471,0,20,316,780,2197,30,190,609,208,0,0,0,0,4,1885,-152.883298,57.87453,13049,43,0
AK,AK0060,RUBY COMMUNITY LIBRARY,10 BOBBY KENNEDY SR. WAY,RUBY,99768,10,YUKON-KOYUKUK,9074684432,-3,CI,CI1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-155.71915,64.400047,5701,43,0
AK,AK0061,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOL BOULEVARD,SAINT PAUL,99660,905,ALEUTIANS WEST,9075463324,-3,MJ,CI1,450,1,0,0,0,0.6,0,0.6,20360,6350,7000,7170,40880,5016,1733,250,6999,33585,13760,0,77,830,576,5408,1128,317,4178,3566,69,69,442,442,14,2504,-170.27885,57.18359,4529,43,0
